Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,All Products_dis_nb_sb_kw_p_storefront spotlight_omg,AMS_Ads_All Products_dis_nb_sb_kw_p_storefront spotlight_omg,makeup older women,PHRASE,makeup for older women 60 plus,11,1,9.0909%,$1.49,1.49,0.00,,0.00,0,0,0.0000%,,,,
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,All Products_sca_nb_sb_kw_e_storefront spotlight_omg,AMS_Ads_All Products_sca_nb_sb_kw_e_storefront spotlight_omg,best makeup for older women,EXACT,best makeup for older women,1,1,100.0000%,$1.26,1.26,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,glow stick by cindy joseph,BROAD,blush stick,175,2,1.1429%,$1.07,2.14,0.00,,0.00,0,0,0.0000%,,,,
"Dec 21, 2022","Dec 21, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,glow stick by cindy joseph,BROAD,cheek glow illuminator,1,1,100.0000%,$1.00,1.00,0.00,,0.00,0,0,0.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,glow stick by cindy joseph,BROAD,contour stick,509,1,0.1965%,$1.07,1.07,0.00,,0.00,0,0,0.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,glow stick by cindy joseph,BROAD,elf liquid halo glow,1,1,100.0000%,$0.97,0.97,0.00,,0.00,0,0,0.0000%,,,,
"Dec 18, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,glow stick by cindy joseph,BROAD,highlighter stick,1292,7,0.5418%,$0.90,6.28,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 19, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,glow stick by cindy joseph,BROAD,lip stick,529,6,1.1342%,$1.03,6.17,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,glow stick by cindy joseph,BROAD,pixie on the glow blush peach,2,1,50.0000%,$0.77,0.77,0.00,,0.00,0,0,0.0000%,,,,
"Dec 17, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom mascara,BROAD,mascara,48,1,2.0833%,$0.97,0.97,0.00,,0.00,0,0,0.0000%,,,,
"Dec 20, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom silk moisturizer by cindy joseph,BROAD,jones road beauty products,2,1,50.0000%,$0.99,0.99,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 16, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,boom silk moisturizer by cindy joseph,BROAD,joseph joseph,203,3,1.4778%,$0.99,2.97,0.00,,0.00,0,0,0.0000%,,,,
"Dec 15, 2022","Dec 17, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,makeup by cindy joseph,BROAD,bloom makeup,5,3,60.0000%,$1.07,3.21,79.00,4.0633%,24.61,1,1,33.3333%,,,,
"Dec 15, 2022","Dec 18, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,makeup by cindy joseph,BROAD,cream makeup,209,4,1.9139%,$1.06,4.25,0.00,,0.00,0,0,0.0000%,,,,
"Dec 16, 2022","Dec 16, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,makeup by cindy joseph,BROAD,face glow makeup,1,1,100.0000%,$0.78,0.78,0.00,,0.00,0,0,0.0000%,,,,
"Dec 19, 2022","Dec 19, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,makeup by cindy joseph,BROAD,highlight stick makeup,1,1,100.0000%,$0.93,0.93,0.00,,0.00,0,0,0.0000%,,,,
"Dec 16, 2022","Dec 20, 2022",Boomstick Trio,USD,All Products_dis_br_sb_kw_b_storefront spotlight_omg,AMS_Ads_All Products_dis_br_sb_kw_b_storefront spotlight_omg,makeup by cindy joseph,BROAD,highlighter makeup,5365,12,0.2237%,$1.07,12.84,0.00,,0.00,0,0,0.0000%,,,,
